2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,758 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,758 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,909 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,913 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,913 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,064 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,064 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,064 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,064 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,064 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,066 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,066 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,066 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,067 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,067 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,067 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,067 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,068 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,068 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,068 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,219 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,222 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,375 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,381 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,381 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,382 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,534 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,534 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,534 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,534 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,536 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,536 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,536 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,538 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,539 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,544 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,544 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,544 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,547 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,547 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,551 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,702 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,702 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,702 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,702 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,702 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,704 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,707 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,707 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,707 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,858 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,858 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,858 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,860 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,860 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,860 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,860 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,862 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,862 [WARNING] Query failed, no connection available
2025-11-26 05:09:35,864 [WARNING] Query failed, no connection available
